Discriminator Loss,Generator Loss
-0.42395332855924606,0.4243275805967505
-1.0048332220161815,1.1458636905924744
-1.1756907464791546,1.9541509372153598
-1.2207270788888935,2.388742825244909
-1.2483526125250495,2.4698610385346194
-1.250691874183303,2.2755659484995268
-1.2503795370940836,1.874834324448834
-1.2512909510160624,1.4460130886726619
-1.25221057943147,1.110755063377617
-1.2500970488973002,0.8699346540384684
-1.246114741400204,0.6342911544975122
-1.24489117026326,0.526407975750111
-1.2445324513022475,0.3506513402249738
-1.2445619545150632,0.21757864028202947
-1.246107989440851,0.1536650658507785
-1.2453662172511564,0.06112451586171128
-1.248008400796332,-0.16473287772241813
-1.2490502632147653,-0.4153987716768291
-1.2529484491502296,-0.5756477071525985
-1.251808213955378,-0.784534051447142
-1.252312643624886,-1.0168794504547978
-1.2538372818742094,-1.30860017291286
-1.2559702690180297,-1.4709558772603712
-1.2576031645720196,-1.6520614717420068
-1.258093918096626,-1.7644962506347464
-1.259253922121138,-1.9336263299608267
-1.2598908453033626,-2.075416226052457
-1.2586482553640723,-2.1739478459588106
-1.2578290794692237,-2.1986925519213187
-1.260667393141385,-2.210258088063874
-1.2610357306519628,-2.2113723661833244
-1.2635851478078741,-2.211154652413531
-1.2631258512974382,-2.24122554897248
-1.2617447655393619,-2.232306203734885
-1.2612259946152427,-2.245629969276546
-1.2597738687292401,-2.183278557761105
-1.262688544776927,-2.224688562082776
-1.262695372584929,-2.2669047385298735
-1.2632147205531357,-2.31002060500869
-1.261909674415066,-2.3524427776087937
-1.2617282973537227,-2.4127062298051216
-1.2621001383874566,-2.467998722470898
-1.2640567047724556,-2.5035311628236583
-1.2637264842192066,-2.6057946255883953
-1.265203869734989,-2.661678562236112
-1.2657964584107677,-2.6855366919728767
-1.2673749895520274,-2.6098424893055197
-1.2675423437208184,-2.6029319223341463
-1.2678908632130441,-2.6410501026454227
-1.2690165228002228,-2.6494069286136557
-1.2696884537652764,-2.657344449968442
-1.2704022237520936,-2.6807967838719016
-1.2723214831151304,-2.693326704870256
-1.2723731989973823,-2.7308969341766494
-1.2736093664998935,-2.7717335015481757
-1.2735790340871085,-2.823827071293538
-1.2735666211881074,-2.845043106155594
-1.2740710976420686,-2.8958337511030807
-1.2738367804464357,-2.922586744406055
-1.2740360464103877,-2.9283037485293217
-1.27451644843157,-2.9442351596798297
-1.2738749693235887,-2.965045519814406
-1.2738677954592537,-2.9996637507696584
-1.2739430922839663,-3.0558899858191
-1.273631841938028,-3.123654208594187
-1.2738393950445983,-3.182763930313169
-1.273069168551021,-3.1769665700201224
-1.2726046356583582,-3.204272458098289
-1.2733094083723437,-3.1969084182594334
-1.2725376988372996,-3.1754586564034915
-1.2730828408580377,-3.173320298401327
-1.272936846618288,-3.191522714386677
-1.273929613450351,-3.2140208200784603
-1.273108212742503,-3.209323025686536
-1.2740357833953684,-3.202778125678012
-1.273365622790637,-3.2159957322023502
-1.2744311460913769,-3.233626155901939
-1.2745419167325376,-3.2315521255381614
-1.2745472173938222,-3.2148870578248467
-1.2754131111267197,-3.1940108930711886
-1.2751336953534063,-3.1798195826496385
-1.2749439747699904,-3.170038679865868
-1.2753339999918722,-3.1445528434842944
-1.2750909824854613,-3.1006377982011
-1.2752826716576442,-3.065151527128694
-1.2752347262304073,-3.0487979935975456
-1.274642674237864,-3.033216480759945
-1.2758236245029835,-3.020936221491305
-1.2737656146689555,-3.0273021446205206
-1.2728586173453145,-3.064181535160878
-1.2725712962013085,-3.051759184341332
-1.2731913628754474,-3.004687983516194
-1.2733596453003824,-2.9309473333060883
-1.273694695939848,-2.88613646957419
-1.2737128090486762,-2.8376892824212576
-1.2742364770201395,-2.8159196283264434
-1.2749938334552398,-2.808245372394346
-1.2749850759155206,-2.815092194817074
-1.2740144703568188,-2.783841760962962
-1.2751022958423837,-2.7561782183588996
-1.274778104186519,-2.7782537137952263
-1.2753697840601437,-2.7809057852299253
-1.2758030279138048,-2.788855905871535
-1.2754998407535534,-2.8108615003347537
-1.2767507121453265,-2.8214985127191983
-1.2779015388821249,-2.8211525248577747
-1.2782162392428078,-2.8719413234478774
-1.2784063048850514,-2.894179511995724
-1.278466244001862,-2.901436868007764
-1.2789655925598515,-2.9162095931807896
-1.2788699829444894,-2.9246084041464844
-1.2793279097873302,-2.9584670064838656
-1.2779676831368223,-2.9777056727557305
-1.2782660091277191,-3.0373273125983324
-1.2775372176358,-3.0848117313308787
-1.278012844800633,-3.0866058601090356
-1.2779442009305872,-3.092053055048223
-1.2779071437607228,-3.0846759781180992
-1.2778584524582997,-3.1230118509079827
-1.2785276623167376,-3.1317509812070123
-1.2773534160082554,-3.1468095456139644
-1.2772855793698252,-3.1733618915550355
-1.2771415651766203,-3.2084103143971427
-1.2788696050359303,-3.217830968094491
-1.2778373428915453,-3.2226211072950655
-1.2785325273976833,-3.2120353664018477
-1.2792115104181971,-3.1962125615722323
-1.278529358392706,-3.1684058266608286
-1.27883707107271,-3.1585932330307878
-1.279722924704238,-3.1444227587224556
-1.2790280916599248,-3.1416324709842818
-1.2791089063137437,-3.150905661461526
-1.2788548164887825,-3.1549168385824298
-1.2787213493732703,-3.2058655732025056
-1.278954581954294,-3.2247037196528665
-1.2788826587796884,-3.2460295287333967
-1.2801892231546061,-3.2730039471373127
-1.2794610774153699,-3.2757934297827243
-1.2796393928018686,-3.297914855531784
-1.2785842062306794,-3.315025395364433
-1.2789263980009167,-3.341529561935322
-1.2785071059765505,-3.3626632895150603
-1.2784044046655425,-3.4435054385683075
-1.2765071122735907,-3.558360749493397
-1.2775077938589054,-3.64723381311209
-1.2767304896069378,-3.6919256224051513
-1.2779176634035567,-3.7536710809851264
-1.2769046188734152,-3.7857866464762786
-1.2772575966945607,-3.737886750490696
-1.2776129664573235,-3.674326505965206
-1.27771490673366,-3.642600047532643
-1.276203283518688,-3.6157993145385063
-1.2775928863115016,-3.573347605197512
-1.276413167046966,-3.5605885796961774
-1.2770304952772387,-3.593626554513408
-1.2748694203197657,-3.605637800663865
-1.2765078780574552,-3.621680967232807
-1.2772876612407644,-3.6276414303289157
-1.2757196277388791,-3.6208743174351015
-1.2754778779138958,-3.64072402943037
-1.2759578837573775,-3.642726629240546
-1.276498502813459,-3.6390519083647015
-1.2755098916126764,-3.6435239409786453
-1.2752778440063348,-3.657355313138739
-1.2765097690534308,-3.669144536987556
-1.2767466976823216,-3.6845477434761382
-1.2768437249514546,-3.6440052663418343
-1.277368543491074,-3.6353343352403096
-1.2768733459702506,-3.631515722452477
-1.2770624363163685,-3.616870837783111
-1.2774139222684462,-3.628134570180442
-1.2778282845095525,-3.631386450984887
-1.2788915841737334,-3.633986378128739
-1.2774195369838375,-3.6657232016495773
-1.2786410037363343,-3.745291226199119
-1.278851186357043,-3.8336244809913733
-1.2772866753400502,-3.8889103049749933
-1.2764271520430865,-3.918582255100866
-1.27667772745862,-4.004743688085928
-1.2771987350364502,-4.033027261319466
-1.2773242786808814,-4.056969915354035
-1.276847914670315,-4.078038190216229
-1.2771097695103664,-4.097549287327354
-1.276921556818915,-4.118936307171363
-1.278503013426441,-4.107906803947235
-1.278375621217609,-4.098798853719587
-1.2782127656122084,-3.8965536392136833
-1.2777122527007836,-3.8533636396015094
-1.2757835773626909,-3.9672835174059453
-1.2760587547773692,-3.987475690984328
-1.2746146023434202,-4.006101597667771
-1.2765965258913712,-4.0273973541757035
-1.2775202172131037,-4.043894391524479
-1.2778855535941591,-4.061480451466664
-1.2798046513535892,-4.073094825537489
-1.2795893985660687,-4.083577240453839
-1.2807109114570852,-4.07666460001003
-1.2797469224003473,-4.075436860506886
-1.2778561647174438,-3.9318475077314736
